Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
1072|M7119702|ATIVIDADES DE ESTUDOS GEOLÓGICOS|269,71|276,24|302,98|328,491|343,6344|358,2045
965|J5914600|ATIVIDADES DE EXIBIÇÃO CINEMATOGRÁFICA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1217|Q8650004|ATIVIDADES DE FISIOTERAPIA|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1219|Q8650006|ATIVIDADES DE FONOAUDIOLOGIA|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1231|Q8712300|ATIVIDADES DE FORNECIMENTO DE INFRA-ESTR|561,88|575,48|631,1865|684,3324|715,8801|746,2334
932|H5310502|ATIVIDADES DE FRANQUEADAS E PERMISSIONÁR|606,81|621,5|681,6612|739,0571|773,1276|805,9082
966|J5920100|ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃ|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1097|M7490104|ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMEN|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1131|N8030700|ATIVIDADES DE INVESTIGAÇÃO PARTICULAR|269,71|276,24|302,98|328,491|343,6344|358,2045
1251|R9103100|ATIVIDADES DE JARDINS BOTÂNICOS, ZOOLÓGI|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1136|N8129000|ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1130|N8020000|ATIVIDADES DE MONITORAMENTO DE SISTEMAS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1249|R9102301|ATIVIDADES DE MUSEUS E DE EXPLORAÇÃO DE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1267|S9412000|ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
1272|S9493600|ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
1266|S9411100|ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
1271|S9492800|ATIVIDADES DE ORGANIZAÇÕES POLÍTICAS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
1270|S9491000|ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
1268|S9420100|ATIVIDADES DE ORGANIZAÇÕES SINDICAIS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
81|A0163600|ATIVIDADES DE PÓS-COLHEITA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
963|J5912099|ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁFI|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1223|Q8690901|ATIVIDADES DE PRÁTICAS INTEGRATIVAS E CO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
960|J5911199|ATIVIDADES DE PRODUÇÃO CINEMATOGRÁFICA,|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1090|M7420002|ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS AÉ|674,25|690,57|757,4172|821,1917|859,0486|895,4723
1089|M7420001|ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, E|809,11|828,69|908,9072|985,4372|1030,8658|1074,5745
1221|Q8650099|ATIVIDADES DE PROFISSIONAIS DA ÁREA DE S|809,11|575,48|631,1865|684,3324|715,8801|746,2334
1324|Q8650099|ATIVIDADES DE PROFISSIONAIS DA áREA DE SAúDE NãO|674,25|690,57|757,4172|821,1917|859,0486|895,4723
1215|Q8650002|ATIVIDADES DE PROFISSIONAIS DA NUTRIÇÃO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1216|Q8650003|ATIVIDADES DE PSICOLOGIA E PSICANÁLISE|561,88|575,48|631,1865|684,3324|715,8801|746,2334
967|J6010100|ATIVIDADES DE RÁDIO|719,2|736,6|807,9029|875,9283|916,3086|955,1601
1197|Q8630507|ATIVIDADES DE REPRODUÇÃO HUMANA ASSISTID|224,75|230,19|252,4724|273,7306|286,3495|298,4908
