Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
699|G4631100|COMÉRCIO ATACADISTA DE LEITE E LATICÍNIO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
741|G4647802|COMÉRCIO ATACADISTA DE LIVROS, JORNAIS E|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
776|G4681805|COMÉRCIO ATACADISTA DE LUBRIFICANTES|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
747|G4649406|COMÉRCIO ATACADISTA DE LUSTRES, LUMINÁRI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
763|G4671100|COMÉRCIO ATACADISTA DE MADEIRA E PRODUTO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
758|G4663000|COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPA|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
760|G4665600|COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
756|G4661300|COMÉRCIO ATACADISTA DE MÁQUINAS, APARELH|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
759|G4664800|COMÉRCIO ATACADISTA DE MÁQUINAS, APARELH|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
757|G4662100|COMÉRCIO ATACADISTA DE MÁQUINAS, EQUIPAM|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
